,ADDRESS,CAMIS,Latitude,Longitude
11208,9 CHATHAM SQUARE,41553745,40.71375669,-73.99806939
11256,2601       OCEAN PARKWAY ,41555983,40.58662768,-73.96579515
11256,2601       OCEAN PARKWAY ,41555983,40.58662768,-73.96579515
11268,228        MANHATTAN AVENUE ,41556530,40.71127384,-73.9454885
11295,58         NORTH 3 STREET ,41557798,40.71758119,-73.96346346
11297,656 6 AVENUE,41557895,40.74101014,-73.99409755
11338,1718 HYLAN BOULEVARD,41560644,40.5868532,-74.09156902
11371,765        EAST 82 STREET ,41561999,40.63703523,-73.91233155
11418,2308       1 AVENUE ,41563809,40.79762057,-73.9341406
11427,6420 17 AVENUE,41564598,40.62101142,-73.99203556
11451,123 WEST 13 STREET,41565552,40.73711665,-73.99825925
11481,67 IRVING AVENUE,41567020,40.70445469,-73.9238132
11648,410 EAST 148 STREET,41574568,40.81503304,-73.91756701
11701,3328       FULTON STREET ,41576742,40.68344132,-73.87271739
11739,444        LENOX AVENUE ,41578619,40.81219301,-73.94217214
11749,200 5 AVENUE,41579022,40.74187151,-73.98942998
11806,978 2 AVENUE,41582648,40.75595546,-73.96765306
11832,355 WEST 16 STREET,41583431,40.74178767,-74.00308757
11890,509 MYRTLE AVENUE,41585575,40.69362563,-73.96453044
11894,41 MONROE STREET,41585733,40.71163454,-73.99441288
11897,200 COURT STREET,41585806,40.68707695,-73.99370587
11920,651        ELTON AVENUE ,41586933,40.81838917,-73.91496556
11928,84 7 AVENUE,41587614,40.67490345,-73.97524551
12023,2284 BROADWAY,41592474,40.78595871,-73.97832445
12033,301        WEST TREMONT AVENUE ,41593372,40.85374163,-73.92013556
12119,459        MOTHER GASTON BOULEVARD ,41596927,40.66830975,-73.90643257
12121,2925 VETERANS ROAD WEST,41597047,40.52736021,-74.23063922
12271,228 DEKALB AVENUE,41603746,40.68945239,-73.97016491
12308,472 LORIMER STREET,41605298,40.71102691,-73.94879592
12385,377 KINGSTON AVENUE,41609414,40.66606781,-73.9424336
12455,320 COURT STREET,41612015,40.68324846,-73.99554797
12494,348 WYTHE AVENUE,41613808,40.71428345,-73.96522132
12501,113 WEST 116 STREET,41614161,40.80224573,-73.95005745
12510,524  METROPOLITAN AVENUE,41614516,40.71401127,-73.95142409
12521,391 AVENUE OF THE AMERICAS,41614771,40.73308966,-74.00002882
12534,4523 5 AVENUE,41615280,40.64773584,-74.00748877
12669,100 KENMARE STREET,41620482,40.72116357,-73.99672578
12672,496 EAST 138 STREET,41620893,40.80771749,-73.9197477
12694,47         8 AVENUE ,41622000,40.73835719,-74.00400439
12706,1389 MADISON AVENUE,41622689,40.7874809,-73.95389486
12714,746 LYDIG AVENUE,41622946,40.85440703,-73.86585668
12787,875        FLATBUSH AVENUE ,41625337,40.65073278,-73.95872507
12802,960 LEXINGTON AVENUE,41626009,40.76912074,-73.96323806
12818,1114 AVENUE OF THE AMERICAS,41626556,40.75538997,-73.98363359
12819,35         ANDROVETTE STREET ,41626578,40.53503979,-74.23719151
12835,3431       BOSTON ROAD ,41627133,40.87607379,-73.84948685
12838,116 LEXINGTON AVENUE,41627217,40.74258823,-73.98258588
12888,666        BUSHWICK AVENUE ,41628450,40.69722648,-73.93223063
12916,63 AVENUE D,41629135,40.72207424,-73.97728906
12962,13         GRAHAM AVENUE ,41630103,40.70161096,-73.94233717
12964,2553       AMSTERDAM AVENUE ,41630109,40.85160287,-73.92826233
13070,1531       FULTON STREET ,41632951,40.67992456,-73.93995671
13088,6301 8 AVENUE,41633622,40.63374426,-74.0112867
13127,11         WEST 36 STREET ,41634845,40.75028381,-73.9848036
13184,818        54 STREET ,41636680,40.63856438,-74.00563956
